issue,terriss,riveriss,mariss,region,claim,dyads,begclaim,endclaim,duration,icowsal,icowsalc,salold,attemptsp,attemptst,attbilat,att3non,att3bind,midsiss,midsfat,warsiss,maxhost,maxfatal,version
1,1,0,0,1,2,1,181601,181711,2,3,1,1,1,1,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,4,1,181601,184210,27,3,1,5,5,6,3,0,2,1,0,0,4,0,1.1
1,1,0,0,1,5,1,197108,200199,31,5,2,4,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,6,1,181601,181810,3,1,1,3,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,8,4,181601,187210,70,7,2,7,16,17,15,0,1,1,0,0,3,0,1.1
1,1,0,0,1,10,3,182109,190310,125,7,2,9,37,39,34,2,1,2,0,0,3,0,1.1
1,1,0,0,1,11,2,192205,192407,6,4,1,4,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,12,1,192001,192703,8,6,2,7,2,2,1,0,1,0,0,0,0,0,1.1
1,1,0,0,1,14,1,181601,182102,6,6,2,7,3,4,2,1,0,1,0,0,4,0,1.1
1,1,0,0,1,16,2,181601,184805,24,7,2,8,10,12,10,0,0,2,1,1,5,6,1.1
1,1,0,0,1,18,1,185012,185406,5,3,1,4,2,3,2,0,0,1,0,0,2,0,1.1
1,1,0,0,1,20,1,188400,188400,1,2,1,2,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,22,2,188411,197200,158,6,2,6,16,16,15,0,1,0,0,0,0,0,1.1
1,1,0,0,1,26,1,183501,184802,14,7,2,8,6,8,6,0,0,2,1,1,5,6,1.1
1,1,0,0,1,28,2,181601,184112,17,8,3,8,9,9,9,0,0,0,0,0,0,0,1.1
1,1,0,0,1,30,1,184701,186512,19,9,3,10,7,7,7,0,0,0,0,0,0,0,1.1
1,1,0,0,1,32,1,192201,192609,5,4,1,3,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,34,1,192201,193008,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,36,1,197101,200199,31,4,1,3,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,38,1,192107,193304,13,4,1,2,5,5,3,0,2,0,0,0,0,0,1.1
1,1,0,0,1,40,1,184805,189812,51,6,2,5,9,10,9,0,0,1,1,1,5,6,1.1
1,1,0,0,1,42,1,190901,192503,17,4,1,3,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,44,1,196009,200199,42,7,2,7,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,46,2,185901,200199,123,2,1,1,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,48,1,188903,191507,27,6,2,7,5,6,5,0,0,1,0,0,3,0,1.1
1,1,0,0,1,50,1,189401,190404,11,6,2,7,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,52,1,186501,191703,53,5,2,4,4,4,4,0,0,0,0,0,0,0,1.1
1,1,0,0,1,54,2,189401,193502,24,2,1,4,6,7,5,1,0,1,0,0,3,0,1.1
1,1,0,0,1,56,6,189012,200199,224,3,1,2,3,3,3,0,0,0,0,0,0,0,1.1
1,1,0,0,1,57,1,198201,198608,5,5,2,4,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,1,58,2,190001,200199,54,7,2,6,4,8,4,0,0,4,0,0,4,0,1.1
1,1,0,0,1,60,1,189712,193401,38,4,1,3,2,2,1,0,1,0,0,0,0,0,1.1
1,1,0,0,1,62,1,183101,189704,67,3,1,5,5,5,5,0,0,0,0,0,0,0,1.1
1,1,0,0,1,64,1,186801,188209,15,6,2,6,5,5,4,1,0,0,0,0,0,0,1.1
1,1,0,0,1,66,2,186801,200199,135,9,3,10,28,36,13,15,0,8,0,0,4,0,1.1
1,1,0,0,1,68,5,198103,200199,65,5,2,4,11,11,5,6,0,0,0,0,0,0,1.1
1,1,0,0,1,70,2,183101,192803,59,8,3,9,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,1,72,1,189901,193301,35,4,1,4,15,17,7,7,1,2,1,0,4,1,1.1
1,1,0,0,1,74,1,193508,193804,4,2,1,4,3,4,3,0,0,1,1,0,4,1,1.1
1,1,0,0,1,76,1,189901,199209,94,6,2,6,18,20,8,9,1,2,1,1,5,6,1.1
1,1,0,0,1,78,2,189901,200199,96,7,2,6,5,6,2,2,1,1,0,0,4,0,1.1
