issue,terriss,riveriss,mariss,region,claimdy,claim,name,rivname,rivnum,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,duration,icowsal,icowsalc,salchal,saltgt,salold,saltan,salint,salintc,salintt,attemptsp,attemptst,attbilat,att3non,att3bind,midsiss,midsfat,warsiss,maxhost,maxfatal,version
1,1,0,0,1,201,2,"Passamaquoddy Bay","",,1,2,200,2200,181601,181711,4,0,2,3,1,2,1,1,0,3,2,1,1,1,0,0,1,0,0,0,0,0,1.1
1,1,0,0,1,401,4,"St. Croix-St. John Rivers","",,1,2,200,2200,181601,184210,4,0,27,3,1,2,1,5,2,1,1,0,5,6,3,0,2,1,0,0,4,0,1.1
1,1,0,0,1,501,5,"Machias Seal Island","",,1,2,20,2020,197108,200199,,,31,5,2,2,3,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,601,6,"49th Parallel","",,1,2,200,2200,181601,181810,4,0,3,1,1,1,0,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,801,8,"Oregon Country","",,1,2,200,2200,181601,184607,4,0,31,7,2,4,3,7,4,3,2,1,8,9,8,0,0,1,0,0,3,0,1.1
1,1,0,0,1,802,8,"Oregon Country","",,2,2,230,2230,181601,182102,4,0,6,4,1,3,1,5,2,2,2,0,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,1,803,8,"Oregon Country","",,3,230,200,200230,181601,182102,2,0,6,3,1,1,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,804,8,"San Juan Islands","",,4,2,200,2200,184607,187210,3,0,27,7,2,4,3,5,4,3,2,1,6,6,5,0,1,0,0,0,0,0,1.1
1,1,0,0,1,1001,10,"Alaska","",,1,365,200,200365,182109,186703,2,0,47,7,2,3,4,8,6,1,0,1,6,6,5,1,0,0,0,0,0,0,1.1
1,1,0,0,1,1002,10,"Alaska","",,2,2,365,2365,182202,186703,4,0,46,7,2,3,4,8,6,1,0,1,11,11,10,1,0,0,0,0,0,0,1.1
1,1,0,0,1,1003,10,"Alaska","",,3,200,2,2200,187208,190310,4,0,32,7,2,3,4,9,6,1,0,1,20,22,19,0,1,2,0,0,3,0,1.1
1,1,0,0,1,1101,11,"Wrangel Island","",,1,20,2,2020,192205,192407,2,0,3,4,1,2,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,1102,11,"Wrangel Island","",,2,20,365,20365,192205,192407,2,0,3,4,1,2,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,1201,12,"Labrador","",,1,20,200,20200,192001,192703,3,0,8,6,2,3,3,7,4,2,1,1,2,2,1,0,1,0,0,0,0,0,1.1
1,1,0,0,1,1401,14,"Florida","",,1,2,230,2230,181601,182102,4,0,6,6,2,3,3,7,4,2,1,1,3,4,2,1,0,1,0,0,4,0,1.1
1,1,0,0,1,1601,16,"Texas","",,1,2,230,2230,181601,182102,4,0,6,6,2,3,3,7,4,2,1,1,3,3,3,0,0,0,0,0,0,0,1.1
1,1,0,0,1,1602,16,"Texas","",,2,2,70,2070,183101,184805,4,1,18,7,2,3,4,8,4,3,1,2,7,9,7,0,0,2,1,1,5,6,1.1
1,1,0,0,1,1801,18,"Mesilla Valley","",,1,2,70,2070,185012,185406,4,0,5,3,1,1,2,4,0,3,1,2,2,3,2,0,0,1,0,0,2,0,1.1
1,1,0,0,1,2001,20,"Morteritos & Sabinitos","",,1,70,2,2070,188400,188400,2,0,1,2,1,1,1,2,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,2201,22,"Río Grande Bancos","",,1,70,2,2070,188411,197200,4,0,89,4,1,2,2,4,0,4,2,2,7,7,7,0,0,0,0,0,0,0,1.1
1,1,0,0,1,2202,22,"El Chamizal","",,2,70,2,2070,189509,196312,4,0,69,6,2,3,3,6,2,4,2,2,9,9,8,0,1,0,0,0,0,0,1.1
1,1,0,0,1,2601,26,"California & New Mexico","",,1,2,70,2070,183501,184802,4,1,14,7,2,3,4,8,4,3,1,2,6,8,6,0,0,2,1,1,5,6,1.1
1,1,0,0,1,2801,28,"Fort Ross","",,1,230,365,230365,181601,182109,5,0,6,8,3,4,4,8,6,2,1,1,7,7,7,0,0,0,0,0,0,0,1.1
1,1,0,0,1,2802,28,"Fort Ross","",,2,70,365,70365,183101,184112,8,0,11,7,2,4,3,7,4,3,2,1,2,2,2,0,0,0,0,0,0,0,1.1
1,1,0,0,1,3001,30,"Baja California & Sonora","",,1,2,70,2070,184701,186512,1,0,19,9,3,4,5,10,6,3,1,2,7,7,7,0,0,0,0,0,0,0,1.1
1,1,0,0,1,3201,32,"Ellesmere Island","",,1,20,2,2020,192201,192609,8,0,5,4,1,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1.1
1,1,0,0,1,3401,34,"Sverdrup Islands","",,1,20,385,20385,192201,193008,4,0,9,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,3601,36,"Hans Island","",,1,20,390,20390,197101,200199,,,31,4,1,2,2,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1.1
1,1,0,0,1,3801,38,"Eastern Greenland","",,1,385,390,385390,192107,193304,3,0,13,4,1,2,2,2,2,2,1,1,5,5,3,0,2,0,0,0,0,0,1.1
1,1,0,0,1,4001,40,"Cuba","",,1,2,230,2230,184805,189812,4,1,51,6,2,3,3,5,4,2,1,1,9,10,9,0,0,1,1,1,5,6,1.1
1,1,0,0,1,4201,42,"Isla de Pinos (Isle of Pines)","",,1,2,40,2040,190901,192503,4,0,17,4,1,1,3,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1.1
