issue,terriss,riveriss,mariss,region,claimdy,claim,dyadnum,chal,tgt,dyad,settnump,settnumt,begsett,endsett,year,yearend,durmid,durfat,durwar,typesett,typeset3,typesetm,bilat,nonbind3,binding3,midiss,typeact,actor1,actor2,actor3,actor4,actor5,actor6,typeio3,typeio5,io,ioreg,ioglob,ioacttype,iobind,ionon,other3rd,oth3bind,oth3non,extentsa,extentsa3,attfunc,attproc,attiss,agree,agreeall,extentag,extentag3,agreefun,agreepro,agreeiss,terrchag,allocag,marchag,sqchgag,concesag,conceven,conceslo,conceshi,concany,concchal,conctgt,concstr3,concstr1,concwk3,concwk1,ratfailc,ratfailt,ratfail,compchal,comptgt,comply2,claimend,clmendatt,clmendma,clmendall,clmend2,clmend5,clmend10,effect4,effect3,nomid5,nomid10,nomid15,mid,midhost,midwar,midfat,midfatany,midendiss,version
1,1,0,0,1,201,2,1,2,200,2200,1,1,181711,181711,1817,1817,0,0,0,5,3,3,0,0,1,0,0,0,,,,,,3,5,0,0,0,0,0,0,1,1,0,3,2,0,0,1,1,1,3,2,0,0,1,0,,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,4,3,1,1,1,,,,,,,1.1
1,1,0,0,1,401,4,1,2,200,2200,1,1,181609,182204,1816,1822,0,0,0,5,3,3,0,0,1,0,0,0,,,,,,3,5,0,0,0,0,0,0,1,1,0,3,2,0,0,1,1,1,3,2,0,0,1,0,,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,,,,,,,1.1
1,1,0,0,1,401,4,1,2,200,2200,2,2,182709,182709,1827,1827,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,1,1,0,,,,,,,1.1
1,1,0,0,1,401,4,1,2,200,2200,3,3,182901,183101,1829,1831,0,0,0,5,3,3,0,0,1,0,2,210,,,,,,3,5,0,0,0,0,0,0,1,1,0,3,2,0,0,1,1,1,3,2,0,0,1,0,,,0,4,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,1.1
1,1,0,0,1,401,4,1,2,200,2200,4,4,183200,183200,1832,1832,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,1,0,0,,,,,,,1.1
1,1,0,0,1,401,4,1,2,200,2200,,5,183901,183903,1839,1839,0,0,0,,,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,1,1,1,15,4,0,0,0,1,1.1
1,1,0,0,1,401,4,1,2,200,2200,5,6,184208,184208,1842,1842,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,3,2,0,0,1,1,,,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,2,2,1,1,1,1,1,4,3,1,1,1,,,,,,,1.1
1,1,0,0,1,601,6,1,2,200,2200,1,1,181810,181810,1818,1818,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,3,2,0,0,1,0,,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,3,2,1,1,1,,,,,,,1.1
1,1,0,0,1,801,8,1,2,200,2200,1,1,181711,181807,1817,1818,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,1,1,1,,,,,,,1.1
1,1,0,0,1,801,8,1,2,200,2200,2,2,181810,181901,1818,1819,0,0,0,1,1,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,0,0,,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,,,,,,,1.1
